                          2016-07-24 02:41:23.812261
*******************************************************************************

     This output file records the optimization of a bin packing problem

     with  500  items to pack. The optimization is terminated after

      25000  fitness function evaluations.


*******************************************************************************

     Method:  MOMAD
     data:  MOMAD/Static/SBSBPP500/Experiment09/SBSBPP500_run9.txt
Generation  1 : 

Gen. Member  Solution ID     f[1] (B)    f[2] (H)    f[3] (Avg. W)
------------------------------------------------------------------
          0            0           51         652          557.61
          1            1           52         635          546.88
          2        13077           51         709          557.61
          3        13638           51         735          557.61
          4        11257           51         702          557.61
          5        11460           53         585          536.57
          6            6           51         687          557.61
          7         9170           51         785          557.61
          8            8           52         669          546.88
          9        10893           52         757          546.88
         10         6863           51         712          557.61
         11         3768           52         735          546.88
         12           12           51         673          557.61
         13           13           52         616          546.88
         14           14           51         667          557.61
         15         4103           54         579          526.63
         16         6393           51         788          557.61
         17         9645           53         577          536.57
         18         2546           54         569          526.63
         19        11671           51         695          557.61
         20         2780           53         562          536.57
         21        11023           51         728          557.61
         22        13595           51         787          557.61
         23         1528           54         564          526.63
         24           24           51         673          557.61
         25           25           51         706          557.61
         26        12917           51         758          557.61
         27           27           51         686          557.61
         28         6286           51         822          557.61
         29         6966           55         621          517.05
         30        11201           54         578          526.63
         31        12581           51         728          557.61
         32         7847           52         638          546.88
         33        11646           51         759          557.61
         34         4601           54         567          526.63
         35         7929           53         582          536.57
         36           36           51         660          557.61
         37         8397           53         608          536.57
         38        11126           52         647          546.88
         39           39           52         635          546.88
         40           40           51         648          557.61
         41         7872           54         631          526.63
         42         8915           55         655          517.05
         43        12739           52         598          546.88
         44         3456           54         593          526.63
         45         8319           51         743          557.61
         46         6261           51         676          557.61
         47         6343           51         649          557.61
         48         7096           51         698          557.61
         49         8759           51         747          557.61
         50           50           51         640          557.61
         51           51           51         658          557.61
         52           52           51         684          557.61
         53        11304           51         683          557.61
         54           54           51         661          557.61
         55         3242           52         792          546.88
         56        10471           54         669          526.63
         57           57           51         648          557.61
         58         8371           51         746          557.61
         59        12140           51         735          557.61
         60        13025           52         840          546.88
         61         1375           52         735          546.88
         62        11566           51         853          557.61
         63        12189           52         685          546.88
         64         7822           54         580          526.63
         65         6213           54         618          526.63
         66           66           51         664          557.61
         67         3428           54         594          526.63
         68         8734           54         584          526.63
         69        11333           51         775          557.61
         70           70           51         643          557.61
         71          548           55         574          517.05
         72           72           51         648          557.61
         73         7798           51         795          557.61
         74           74           51         668          557.61
         75         8056           51         746          557.61
         76           76           51         674          557.61
         77           77           51         670          557.61
         78           78           51         642          557.61
         79           79           52         660          546.88
         80        12686           52         619          546.88
         81           81           51         681          557.61
         82          601           52         701          546.88
         83           83           52         657          546.88
         84         4833           51         750          557.61
         85         9955           54         562          526.63
         86           86           51         665          557.61
         87        11980           51         684          557.61
         88        11619           51         694          557.61
         89           89           51         632          557.61
         90        12606           51         804          557.61
         91        11957           51         783          557.61
         92         8081           53         640          536.57
         93         7409           51         681          557.61
         94        13619           51         660          557.61
         95         6522           53         607          536.57
         96           96           51         651          557.61
         97        13493           52         755          546.88
         98        10190           51         680          557.61
         99         5895           54         621          526.63
        100         7304           52         687          546.88
        101          101           51         637          557.61
        102         7044           51         699          557.61
        103          103           52         692          546.88
        104         9983           51         762          557.61
        105         9564           54         579          526.63
        106         8677           51         733          557.61
        107          107           51         644          557.61
        108         6758           51         672          557.61
        109         7144           53         571          536.57
        110         2853           54         611          526.63
        111         9358           52         734          546.88
        112         7279           51         686          557.61
        113          113           52         650          546.88
        114          114           51         658          557.61
        115        13518           51         650          557.61
        116         5613           51         795          557.61
        117        12791           51         807          557.61
        118          118           52         636          546.88
        119          119           52         662          546.88
        120         2391           53         596          536.57
        121        10034           51         724          557.61
        122         2832           54         627          526.63
        123          607           54         567          526.63
        124        11047           51         755          557.61
        125         5432           53         621          536.57
        126         8007           51         777          557.61
        127          987           51         678          557.61
        128         3581           51         715          557.61
        129          129           51         650          557.61
        130        12167           54         569          526.63
        131          131           51         688          557.61
        132         9150           54         604          526.63
        133         9121           51         691          557.61
        134          134           51         664          557.61
        135          135           51         653          557.61
        136          136           51         686          557.61
        137          137           51         657          557.61
        138        10291           51         683          557.61
        139          139           52         678          546.88
        140        12869           51         684          557.61
        141        11542           51         727          557.61
        142          142           51         643          557.61
        143          614           51         750          557.61
        144         7954           54         643          526.63
        145          145           52         661          546.88
        146          146           51         690          557.61
        147         5041           51         701          557.61
        148          148           51         655          557.61
        149          149           51         596          557.61
        150          545           52         671          546.88
        151          151           52         677          546.88
        152        13336           51         717          557.61
        153        10007           51         748          557.61
        154          154           51         676          557.61
        155          603           51         610          557.61
        156         4442           53         582          536.57
        157         9226           54         643          526.63
        158        12271           53         626          536.57
        159         7612           54         611          526.63
        160        12634           51         649          557.61
        161          161           51         627          557.61
        162         9489           51         719          557.61
        163          163           51         636          557.61
        164        11225           51         721          557.61
        165          165           51         668          557.61
        166        10630           51         748          557.61
        167        11803           54         578          526.63
        168         8238           51         687          557.61
        169          169           51         624          557.61
        170        12505           52         743          546.88
        171         9278           51         676          557.61
        172          172           51         663          557.61
        173          538           54         557          526.63
        174          174           51         641          557.61
        175         6160           54         575          526.63
        176         9540           54         563          526.63
        177          522           52         694          546.88
        178          178           52         632          546.88
        179          179           51         643          557.61
        180         9800           51         725          557.61
        181        13361           54         578          526.63
        182          564           55         605          517.05
        183        12446           51         772          557.61
        184          625           54         574          526.63
        185          185           51         667          557.61
        186          186           51         670          557.61
        187         4886           51         951          557.61
        188          188           51         687          557.61
        189          189           51         678          557.61
        190        12426           54         586          526.63
        191          191           52         676          546.88
        192         7565           51         685          557.61
        193          641           51         664          557.61
        194         5693           54         641          526.63
        195         2674           52         749          546.88
        196        10320           51         666          557.61
        197         4756           51         826          557.61
        198         9385           54         601          526.63
        199          630           54         565          526.63
        200         3873           51         689          557.61
        201        11177           51         745          557.61
        202         8033           51         707          557.61
        203        13412           52         850          546.88
        204         6833           53         585          536.57
        205        13231           52         682          546.88
        206        11491           54         559          526.63
        207          502           54         572          526.63
        208         3041           51         747          557.61
        209         3006           51         735          557.61
        210          210           51         671          557.61
        211          613           51         777          557.61
        212          212           51         660          557.61
        213          213           51         638          557.61
        214          214           51         655          557.61
        215          215           52         628          546.88
        216        10344           51         754          557.61
        217         6939           51         734          557.61
        218         1867           51         743          557.61
        219          559           54         616          526.63
        220        11358           54         576          526.63
        221        10737           51         663          557.61
        222         7980           51         662          557.61
        223        12894           51         831          557.61
        224         3404           52         687          546.88
        225          225           52         661          546.88
        226          567           52         646          546.88
        227          227           52         641          546.88
        228          228           51         678          557.61
        229        11855           51         858          557.61
        230          230           51         666          557.61
        231         6417           52         809          546.88
        232         6785           51         807          557.61
        233        10158           54         571          526.63
        234          234           51         665          557.61
        235        10422           51         758          557.61
        236         4705           51         747          557.61
        237         8803           52         722          546.88
        238         3533           52         678          546.88
        239          621           54         570          526.63
        240         4419           53         586          536.57
        241         5276           54         569          526.63
        242        13467           51         778          557.61
        243         2439           54         602          526.63
        244          244           51         662          557.61
        245         5302           51         675          557.61
        246         1036           51         785          557.61
        247         4360           51         742          557.61
        248          248           51         665          557.61
        249         3327           51         842          557.61
        250        12816           51         719          557.61
        251         6732           51         686          557.61
        252          252           52         699          546.88
        253        11724           51         744          557.61
        254         6914           51         715          557.61
        255         8265           52         661          546.88
        256        11283           53         576          536.57
        257          257           52         655          546.88
        258          258           52         635          546.88
        259         5535           51         741          557.61
        260          550           54         607          526.63
        261          701           51         750          557.61
        262        10755           51         670          557.61
        263          263           52         645          546.88
        264         7197           54         608          526.63
        265          265           51         676          557.61
        266         8787           51         751          557.61
        267        13285           51         697          557.61
        268         8577           51         779          557.61
        269          269           51         675          557.61
        270        10265           52         704          546.88
        271        13101           51         764          557.61
        272          272           51         682          557.61
        273        13388           52         765          546.88
        274          584           51         848          557.61
        275          275           51         690          557.61
        276          604           51         617          557.61
        277        12840           54         574          526.63
        278        12348           51         717          557.61
        279         7253           51         769          557.61
        280          280           52         656          546.88
        281        10139           51         718          557.61
        282         3847           51         851          557.61
        283          283           51         637          557.61
        284        13206           54         637          526.63
        285          285           51         680          557.61
        286         9463           51         655          557.61
        287          287           52         627          546.88
        288         5354           51         837          557.61
        289        10655           51         743          557.61
        290        13129           51         706          557.61
        291         5483           51         754          557.61
        292         4575           51         714          557.61
        293          639           53         570          536.57
        294          574           54         605          526.63
        295        10997           51         730          557.61
        296          296           51         644          557.61
        297         2259           51         661          557.61
        298         7015           51         717          557.61
        299         9618           53         583          536.57
        300          618           51         772          557.61
        301          301           52         657          546.88
        302         8500           54         612          526.63
        303        12531           51         771          557.61
        304         7461           54         565          526.63
        305          305           51         629          557.61
        306        10241           54         572          526.63
        307         8131           51         792          557.61
        308         6313           53         567          536.57
        309        12008           54         593          526.63
        310          310           52         641          546.88
        311         7903           53         587          536.57
        312        12557           51         653          557.61
        313          313           51         649          557.61
        314        11750           51         758          557.61
        315         6577           54         591          526.63
        316          316           51         665          557.61
        317        11698           54         559          526.63
        318         6625           54         616          526.63
        319        13545           51         710          557.61
        320        13571           52         671          546.88
        321         2414           54         631          526.63
        322        10710           52         639          546.88
        323         9072           51         704          557.61
        324         6109           55         597          517.05
        325         1765           53         579          536.57
        326         9436           52         659          546.88
        327          505           54         583          526.63
        328         9879           51         687          557.61
        329          329           52         662          546.88
        330          330           51         652          557.61
        331          331           51         679          557.61
        332        12319           51         821          557.61
        333        11386           51         901          557.61
        334         2599           51         728          557.61
        335        10867           51         691          557.61
        336         8995           54         605          526.63
        337          337           52         617          546.88
        338          338           52         667          546.88
        339         1974           52         701          546.88
        340          340           51         655          557.61
        341         7123           51         758          557.61
        342         9046           54         591          526.63
        343          343           51         631          557.61
        344         9746           54         585          526.63
        345         9931           51         763          557.61
        346         6680           51         767          557.61
        347          347           52         634          546.88
        348         2650           54         615          526.63
        349          349           52         629          546.88
        350          350           51         657          557.61
        351          351           51         659          557.61
        352          352           52         653          546.88
        353        13439           51         772          557.61
        354        13178           51         754          557.61
        355        13258           51         732          557.61
        356        12061           51         701          557.61
        357         9514           53         660          536.57
        358          519           51         791          557.61
        359         1219           53         645          536.57
        360         2365           51         747          557.61
        361          361           52         643          546.88
        362          544           54         609          526.63
        363         6499           51         687          557.61
        364        10555           54         615          526.63
        365        13048           51         692          557.61
        366        12088           52         687          546.88
        367          367           51         670          557.61
        368        12946           51         753          557.61
        369          369           52         633          546.88
        370          370           51         688          557.61
        371          628           51         691          557.61
        372        12765           54         597          526.63
        373          373           51         649          557.61
        374        12400           52         707          546.88
        375          375           51         671          557.61
        376          376           51         651          557.61
