Solution ID,f[1],f[2],f[3]
26,48.0,588.0,546.9375
38,61.0,587.0,430.37704918
61,61.0,587.0,430.37704918
65,61.0,587.0,430.37704918
129,61.0,587.0,430.37704918
178,49.0,576.0,535.775510204
315,61.0,587.0,430.37704918
403,59.0,587.0,444.966101695
451,61.0,587.0,430.37704918
536,61.0,587.0,430.37704918
545,62.0,587.0,423.435483871
581,62.0,587.0,423.435483871
789,62.0,587.0,423.435483871
873,61.0,587.0,430.37704918
987,62.0,587.0,423.435483871
1080,63.0,587.0,416.714285714
1363,62.0,587.0,423.435483871
1638,64.0,587.0,410.203125
2593,63.0,587.0,416.714285714
3215,57.0,573.0,460.578947368
3325,64.0,587.0,410.203125
4122,57.0,573.0,460.578947368
4837,53.0,565.0,495.339622642
5326,54.0,565.0,486.166666667
6413,57.0,573.0,460.578947368
8112,52.0,563.0,504.865384615
9361,60.0,587.0,437.55
12166,50.0,570.0,525.06
12269,58.0,573.0,452.637931034
16499,56.0,564.0,468.803571429
16982,55.0,564.0,477.327272727
18502,50.0,570.0,525.06
18789,50.0,570.0,525.06
20931,50.0,570.0,525.06
22105,51.0,560.0,514.764705882
22980,57.0,573.0,460.578947368
24153,60.0,587.0,437.55
