                          2016-08-02 02:31:16.861353
*******************************************************************************

     This output file records the optimization of a bin packing problem

     with  500  items to pack. The optimization is terminated after

      25000  fitness function evaluations.


*******************************************************************************

     Method:  MOEPSO
     data:  MOEPSO/Static/SBSBPP500/Experiment05/SBSBPP500_run5.txt
Generation  1 : 

Gen. Member  Solution ID     f[1] (B)    f[2] (H)    f[3] (Avg. W)
------------------------------------------------------------------
          0            0           48         653          587.42
          1            1           50         640          563.92
          2            2           50         636          563.92
          3            3           50         652          563.92
          4            4           49         647          575.43
          5            5           49         647          575.43
          6            6           50         651          563.92
          7            7           50         653          563.92
          8            8           58         653          486.14
          9            9           51         634          552.86
         10           10           50         646          563.92
         11           11           49         650          575.43
         12           12           49         653          575.43
         13           13           50         651          563.92
         14           14           52         650          542.23
         15           15           58         651          486.14
         16           16           50         646          563.92
         17           17           49         652          575.43
         18           18           48         653          587.42
         19           19           59         652          477.90
         20           20           49         652          575.43
         21           21           50         652          563.92
         22           22           51         634          552.86
         23           23           51         649          552.86
         24           24           51         652          552.86
         25           25           49         653          575.43
         26           26           49         653          575.43
         27           27           49         644          575.43
         28           28           59         652          477.90
         29           29           49         653          575.43
         30           30           49         653          575.43
         31           31           48         652          587.42
         32           32           49         653          575.43
         33           33           49         645          575.43
         34           34           51         649          552.86
         35           35           49         649          575.43
         36           36           58         651          486.14
         37           37           52         653          542.23
         38           38           58         651          486.14
         39           39           49         652          575.43
         40           40           48         653          587.42
         41           41           50         652          563.92
         42           42           51         644          552.86
         43           43           51         634          552.86
         44           44           59         652          477.90
         45           45           58         651          486.14
         46           46           50         651          563.92
         47           47           48         652          587.42
         48           48           49         653          575.43
         49           49           48         653          587.42
         50           50           48         653          587.42
         51           51           50         651          563.92
         52           52           50         651          563.92
         53           53           51         649          552.86
         54           54           49         653          575.43
         55           55           49         652          575.43
         56           56           48         652          587.42
         57           57           48         653          587.42
         58           58           51         634          552.86
         59           59           49         653          575.43
         60           60           50         653          563.92
         61           61           58         651          486.14
         62           62           49         652          575.43
         63           63           51         649          552.86
         64           64           59         652          477.90
         65           65           58         651          486.14
         66           66           49         651          575.43
         67           67           50         651          563.92
         68           68           49         650          575.43
         69           69           49         653          575.43
         70           70           49         653          575.43
         71           71           51         649          552.86
         72           72           49         652          575.43
         73           73           50         653          563.92
         74           74           51         644          552.86
         75           75           49         653          575.43
         76           76           49         651          575.43
         77           77           50         653          563.92
         78           78           49         653          575.43
         79           79           49         652          575.43
         80           80           51         649          552.86
         81           81           58         651          486.14
         82           82           58         651          486.14
         83           83           51         634          552.86
         84           84           49         653          575.43
         85           85           49         648          575.43
         86           86           50         650          563.92
         87           87           49         653          575.43
         88           88           48         653          587.42
         89           89           51         649          552.86
         90           90           49         653          575.43
         91           91           52         653          542.23
         92           92           50         652          563.92
         93           93           49         653          575.43
         94           94           57         651          494.67
         95           95           48         653          587.42
         96           96           51         649          552.86
         97           97           49         653          575.43
         98           98           50         651          563.92
         99           99           49         652          575.43
        100          100           48         652          587.42
        101          101           51         653          552.86
        102          102           49         649          575.43
        103          103           50         652          563.92
        104          104           52         653          542.23
        105          105           50         652          563.92
        106          106           50         651          563.92
        107          107           58         651          486.14
        108          108           50         653          563.92
        109          109           51         649          552.86
        110          110           48         652          587.42
        111          111           49         647          575.43
        112          112           49         653          575.43
        113          113           50         651          563.92
        114          114           50         651          563.92
        115          115           50         648          563.92
        116          116           59         652          477.90
        117          117           48         652          587.42
        118          118           49         647          575.43
        119          119           49         648          575.43
        120          120           48         651          587.42
        121          121           50         650          563.92
        122          122           58         651          486.14
        123          123           50         651          563.92
        124          124           59         652          477.90
        125          125           50         651          563.92
        126          126           50         650          563.92
        127          127           50         644          563.92
        128          128           49         651          575.43
        129          129           58         651          486.14
        130          130           51         649          552.86
        131          131           49         653          575.43
        132          132           58         651          486.14
        133          133           49         651          575.43
        134          134           52         653          542.23
        135          135           49         653          575.43
        136          136           50         652          563.92
        137          137           59         652          477.90
        138          138           48         652          587.42
        139          139           48         649          587.42
        140          140           48         653          587.42
        141          141           49         651          575.43
        142          142           49         653          575.43
        143          143           50         653          563.92
        144          144           50         651          563.92
        145          145           49         653          575.43
        146          146           49         641          575.43
        147          147           58         651          486.14
        148          148           58         651          486.14
        149          149           49         651          575.43
        150          150           59         652          477.90
        151          151           48         653          587.42
        152          152           54         652          522.15
        153          153           50         651          563.92
        154          154           49         653          575.43
        155          155           58         651          486.14
        156          156           50         653          563.92
        157          157           48         653          587.42
        158          158           48         653          587.42
        159          159           49         652          575.43
        160          160           58         651          486.14
        161          161           49         651          575.43
        162          162           57         651          494.67
        163          163           48         653          587.42
        164          164           50         653          563.92
        165          165           58         651          486.14
        166          166           49         653          575.43
        167          167           50         653          563.92
        168          168           48         652          587.42
        169          169           58         653          486.14
        170          170           50         653          563.92
        171          171           50         651          563.92
        172          172           49         652          575.43
        173          173           51         647          552.86
        174          174           48         653          587.42
        175          175           50         649          563.92
        176          176           51         650          552.86
        177          177           50         649          563.92
        178          178           49         652          575.43
        179          179           50         653          563.92
        180          180           51         644          552.86
        181          181           59         652          477.90
        182          182           51         634          552.86
        183          183           49         648          575.43
        184          184           49         653          575.43
        185          185           51         651          552.86
        186          186           59         652          477.90
        187          187           59         652          477.90
        188          188           51         634          552.86
        189          189           49         647          575.43
        190          190           52         653          542.23
        191          191           50         652          563.92
        192          192           49         648          575.43
        193          193           50         652          563.92
        194          194           48         653          587.42
        195          195           49         653          575.43
        196          196           50         650          563.92
        197          197           51         649          552.86
        198          198           53         651          532.00
        199          199           49         653          575.43
        200          200           59         652          477.90
        201          201           56         653          503.50
        202          202           50         653          563.92
        203          203           49         636          575.43
        204          204           50         652          563.92
        205          205           51         634          552.86
        206          206           49         652          575.43
        207          207           51         623          552.86
        208          208           59         652          477.90
        209          209           50         651          563.92
        210          210           49         653          575.43
        211          211           57         653          494.67
        212          212           52         647          542.23
        213          213           49         650          575.43
        214          214           58         652          486.14
        215          215           48         651          587.42
        216          216           50         647          563.92
        217          217           49         652          575.43
        218          218           49         649          575.43
        219          219           49         648          575.43
        220          220           49         651          575.43
        221          221           52         653          542.23
        222          222           58         651          486.14
        223          223           50         651          563.92
        224          224           50         651          563.92
        225          225           49         653          575.43
        226          226           49         652          575.43
        227          227           48         653          587.42
        228          228           50         652          563.92
        229          229           48         650          587.42
        230          230           49         652          575.43
        231          231           57         653          494.67
        232          232           50         650          563.92
        233          233           49         646          575.43
        234          234           52         653          542.23
        235          235           50         648          563.92
        236          236           50         651          563.92
        237          237           48         653          587.42
        238          238           49         653          575.43
        239          239           50         647          563.92
        240          240           49         653          575.43
        241          241           49         652          575.43
        242          242           49         653          575.43
        243          243           49         641          575.43
        244          244           48         649          587.42
        245          245           50         649          563.92
        246          246           49         652          575.43
        247          247           51         653          552.86
        248          248           51         634          552.86
        249          249           50         653          563.92
        250          250           49         653          575.43
        251          251           49         653          575.43
        252          252           48         653          587.42
        253          253           56         653          503.50
        254          254           49         653          575.43
        255          255           51         653          552.86
        256          256           49         653          575.43
        257          257           49         653          575.43
        258          258           49         653          575.43
        259          259           51         634          552.86
        260          260           51         649          552.86
        261          261           50         653          563.92
        262          262           53         653          532.00
        263          263           49         653          575.43
        264          264           50         651          563.92
        265          265           50         653          563.92
        266          266           58         651          486.14
        267          267           49         651          575.43
        268          268           52         652          542.23
        269          269           51         649          552.86
        270          270           58         651          486.14
        271          271           50         648          563.92
        272          272           49         653          575.43
        273          273           57         652          494.67
        274          274           51         649          552.86
        275          275           51         634          552.86
        276          276           52         653          542.23
        277          277           49         653          575.43
        278          278           51         634          552.86
        279          279           50         653          563.92
        280          280           50         634          563.92
        281          281           49         649          575.43
        282          282           51         649          552.86
        283          283           55         653          512.65
        284          284           48         653          587.42
        285          285           50         652          563.92
        286          286           48         651          587.42
        287          287           50         652          563.92
        288          288           49         650          575.43
        289          289           58         651          486.14
        290          290           49         640          575.43
        291          291           49         652          575.43
        292          292           51         634          552.86
        293          293           55         653          512.65
        294          294           52         653          542.23
        295          295           52         653          542.23
        296          296           48         644          587.42
        297          297           50         652          563.92
        298          298           58         651          486.14
        299          299           48         653          587.42
        300          300           49         644          575.43
        301          301           49         645          575.43
        302          302           51         634          552.86
        303          303           59         652          477.90
        304          304           52         653          542.23
        305          305           49         651          575.43
        306          306           50         651          563.92
        307          307           50         651          563.92
        308          308           51         653          552.86
        309          309           50         651          563.92
        310          310           49         651          575.43
        311          311           50         650          563.92
        312          312           50         651          563.92
        313          313           49         652          575.43
