763	964

98	17

52	17

21	88

90	86

85	25

69	28

88	52

10	94

88	88

32	56

51	50

94	81

89	77

81	40

88	17

22	75

19	34

17	13

76	12

35	63

96	97

46	84

63	76

50	40

99	36

70	84

51	49

81	99

86	95

33	99

88	76

66	33

100	67

11	25

96	79

72	33

19	22

17	84

97	95

10	44

66	16

44	11

51	72

18	98

40	67

14	13

92	10

100	100

32	38

84	36

68	100

89	49

78	89

72	50

87	88

56	39

96	47

11	69

20	27

22	92

100	12

99	32

23	99

55	13

60	100

83	12

88	100

97	48

81	89

96	47

59	36

98	13

97	33

90	20

10	81

100	10

53	78

12	33

56	49

10	10

96	42

100	10

34	85

46	46

14	31

27	100

26	45

13	65

45	24

29	95

11	100

27	96

45	14

18	93

10	90

100	19

48	21

100	98

32	37

83	63

27	70

18	89

85	53

11	78

10	26

80	16

18	78

86	96

13	17

60	14

61	28

36	10

100	68

22	95

45	12

18	44

54	37

10	81

20	36

62	52

99	13

76	40

75	14

94	13

74	30

99	64

100	74

37	17

63	67

80	90

72	15

33	70

10	15

93	100

39	75

84	27

89	98

24	98

10	19

93	96

43	86

90	23

95	56

31	71

47	94

65	12

16	90

74	15

47	45

85	57

35	11

43	36

78	17

77	98

40	14

100	32

95	94

19	26

57	51

14	99

19	12

72	17

10	94

99	85

66	10

46	44

41	66

15	40

63	10

96	14

39	39

69	18

50	97

77	10

98	11

16	89

85	77

70	24

73	94

84	95

14	87

20	47

31	50

61	86

32	87

79	75

33	54

49	99

52	50

60	32

83	75

38	46

47	99

91	14

57	79

10	48

10	42

80	89

39	28

13	10

94	34

86	95

22	100

92	100

38	46

30	93

30	10

77	100

92	97

92	19

42	55

83	10

26	48

100	14

95	32

99	99

67	11

17	25

68	23

57	33

32	10

10	35

32	100

90	36

17	16

10	95

85	24

63	51

87	25

45	78

100	41

30	25

53	65

48	79

10	12

100	15

10	52

73	63

21	80

27	14

18	35

98	100

43	92

71	13

96	38

15	47

31	100

23	23

17	69

98	10

39	28

100	26

82	100

55	10

95	15

67	97

92	100

100	100

100	47

90	65

12	99

19	79

10	10

66	20

18	27

71	13

98	38

11	29

81	95

97	94

46	50

16	22

38	83

34	13

42	22

12	100

12	43

28	40

45	17

31	36

55	88

10	17

15	49

16	10

84	30

100	66

100	36

44	98

23	80

20	13

88	30

53	47

81	54

66	87

99	21

11	35

97	95

100	14

98	97

93	88

38	18

31	49

17	30

100	63

71	99

91	94

76	11

20	79

100	22

67	95

95	100

15	95

60	77

91	48

23	21

97	59

86	99

91	100

54	12

46	11

16	20

89	92

100	16

90	94

88	12

75	20

15	56

11	29

69	17

22	44

24	59

98	14

62	57

96	54

18	10

11	50

96	58

100	98

36	42

67	23

24	73

100	10

96	89

12	11

76	99

90	10

38	62

25	18

36	99

12	94

10	10

42	54

12	95

100	94

41	100

39	59

70	98

40	99

18	33

30	80

69	75

100	66

32	95

83	83

68	100

55	34

99	10

26	69

72	10

98	10

94	100

10	99

65	46

26	51

30	10

67	63

63	18

92	62

89	78

30	48

68	78

62	84

71	96

78	84

38	39

12	65

44	92

65	95

15	88

95	81

14	25

76	32

63	85

99	25

65	29

70	17

100	56

100	11

99	56

33	10

15	93

40	14

67	62

34	82

50	20

15	64

62	54

95	11

41	26

49	24

13	39

85	99

30	11

81	13

46	63

98	59

33	86

23	99

32	100

100	100

61	84

82	73

70	91

43	60

24	56

52	12

25	11

56	10

96	42

98	15

76	31

70	98

46	97

10	41

28	81

64	10

27	32

99	93

17	57

90	85

99	11

100	93

98	78

14	70

98	28

36	57

100	100

10	10

43	10

47	97

21	99

10	84

68	58

39	98

99	86

10	10

79	14

100	66

12	52

19	100

93	10

35	24

32	39

89	10

83	87

95	14

72	11

68	46

92	98

11	61

92	52

15	52

100	34

78	22

12	100

94	24

62	62

16	100

87	63

82	63

74	99

46	17

95	65

33	82

100	88

92	78

51	60

97	78

14	14

16	10

73	42

91	77

47	38

62	100

58	64

82	39

17	61

65	98

48	86

10	93

