                          2016-07-24 10:39:17.239487
*******************************************************************************

     This output file records the optimization of a bin packing problem

     with  500  items to pack. The optimization is terminated after

      25000  fitness function evaluations.


*******************************************************************************

     Method:  MOMAD
     data:  MOMAD/Static/SBSBPP500/Experiment14/SBSBPP500_run14.txt
Generation  1 : 

Gen. Member  Solution ID     f[1] (B)    f[2] (H)    f[3] (Avg. W)
------------------------------------------------------------------
          0          962           51         586          514.76
          1          903           50         587          525.06
          2         9252           51         586          514.76
          3          914           50         586          525.06
          4        12200           52         580          504.87
          5            5           50         587          525.06
          6        12694           49         588          535.78
          7        11912           49         588          535.78
          8          714           51         588          514.76
          9         3048           52         581          504.87
         10         8636           49         588          535.78
         11         1055           51         583          514.76
         12           12           51         577          514.76
         13         6968           50         587          525.06
         14        10354           49         587          535.78
         15        13527           51         578          514.76
         16        12405           51         588          514.76
         17         7105           50         586          525.06
         18         5831           49         588          535.78
         19          865           50         588          525.06
         20         8064           50         580          525.06
         21           21           52         584          504.87
         22         4292           50         587          525.06
         23        13732           49         588          535.78
         24        13423           50         581          525.06
         25         7807           50         588          525.06
         26           26           51         574          514.76
         27         3202           49         585          535.78
         28         1801           51         586          514.76
         29         3465           52         585          504.87
         30        11158           50         582          525.06
         31          662           50         587          525.06
         32           32           53         584          495.34
         33          691           51         585          514.76
         34         4997           50         587          525.06
         35         2499           52         587          504.87
         36         7047           52         583          504.87
         37         7728           49         587          535.78
         38         6452           50         585          525.06
         39         1723           50         580          525.06
         40           40           52         580          504.87
         41          831           50         586          525.06
         42         8478           50         588          525.06
         43         4427           52         587          504.87
         44        13317           49         588          535.78
         45         1203           52         587          504.87
         46          893           50         585          525.06
         47          686           50         588          525.06
         48         4895           50         588          525.06
         49         9678           51         588          514.76
         50         5986           50         588          525.06
         51        12981           50         588          525.06
         52         3749           49         587          535.78
         53          765           50         588          525.06
         54         5254           49         588          535.78
         55           55           52         583          504.87
         56        10899           50         588          525.06
         57         2186           50         585          525.06
         58           58           51         581          514.76
         59         1065           51         587          514.76
         60         1049           50         588          525.06
         61         5727           50         584          525.06
         62        13891           50         588          525.06
         63         2034           50         586          525.06
         64          851           50         588          525.06
         65          911           49         588          535.78
         66        11524           49         588          535.78
         67         6559           50         579          525.06
         68          509           50         586          525.06
         69           69           51         581          514.76
         70         1043           50         572          525.06
         71           71           50         578          525.06
         72         1076           51         585          514.76
         73          638           49         588          535.78
         74        13264           49         582          535.78
         75          651           49         588          535.78
         76         7703           50         586          525.06
         77           77           51         583          514.76
         78         2783           49         588          535.78
         79         8651           50         588          525.06
         80           80           52         584          504.87
         81           81           51         579          514.76
         82         8743           50         587          525.06
         83           83           52         578          504.87
         84         7379           51         588          514.76
         85        10950           49         588          535.78
         86         2425           51         579          514.76
         87        10144           50         576          525.06
         88         2737           49         579          535.78
         89          617           49         587          535.78
         90         9751           50         584          525.06
         91           91           51         578          514.76
         92          923           49         586          535.78
         93         9730           50         587          525.06
         94           94           51         584          514.76
         95          665           50         586          525.06
         96           96           51         582          514.76
         97         1074           50         588          525.06
         98         2992           50         582          525.06
         99         7182           50         583          525.06
        100        10978           51         587          514.76
        101        12877           50         588          525.06
        102          961           52         586          504.87
        103        11784           50         582          525.06
        104        11603           51         584          514.76
        105        13161           51         588          514.76
        106          755           50         587          525.06
        107         1095           50         588          525.06
        108         1053           50         588          525.06
        109          692           51         581          514.76
        110        12746           49         587          535.78
        111          111           50         578          525.06
        112         6325           51         586          514.76
        113        10119           49         588          535.78
        114          114           51         579          514.76
        115          115           51         581          514.76
        116          116           52         583          504.87
        117        13968           52         586          504.87
        118         9861           50         588          525.06
        119        11057           50         587          525.06
        120          995           51         587          514.76
        121        13680           50         588          525.06
        122         3673           50         573          525.06
        123        11835           49         586          535.78
        124        10693           50         580          525.06
        125         1140           50         585          525.06
        126         5092           51         588          514.76
        127         2711           50         588          525.06
        128          822           51         580          514.76
        129         3016           50         582          525.06
        130        10796           51         587          514.76
        131          131           50         583          525.06
        132         6845           49         588          535.78
        133          672           51         586          514.76
        134          134           50         577          525.06
        135        12536           50         573          525.06
        136        12669           49         588          535.78
        137         1063           49         588          535.78
