                          2016-07-23 18:18:55.837072
*******************************************************************************

     This output file records the optimization of a bin packing problem

     with  500  items to pack. The optimization is terminated after

      25000  fitness function evaluations.


*******************************************************************************

     Method:  MOMAD
     data:  MOMAD/Static/SBSBPP500/Experiment04/SBSBPP500_run4.txt
Generation  1 : 

Gen. Member  Solution ID     f[1] (B)    f[2] (H)    f[3] (Avg. W)
------------------------------------------------------------------
          0        10915           95         300          290.54
          1         1778           94         300          293.63
          2         1322           95         300          290.54
          3         6739          100         300          276.01
          4         9599           96         300          287.51
          5        13941          100         300          276.01
          6         1584           99         300          278.80
          7         1715           95         300          290.54
          8         2682           99         300          278.80
          9         6682          100         300          276.01
         10         1682           95         300          290.54
         11         1325           94         300          293.63
         12         2786           96         300          287.51
         13        14175          100         300          276.01
         14        13343          101         300          273.28
         15        14768           97         300          284.55
         16           16          102         300          270.60
         17        11783           96         300          287.51
         18        11233           94         300          293.63
         19         1787           96         300          287.51
         20        11887           95         300          290.54
         21         1507          100         300          276.01
         22         1722           95         300          290.54
         23        10431           95         300          290.54
         24        13183          100         300          276.01
         25          992          101         298          273.28
         26         8083           95         300          290.54
         27         1736           98         300          281.64
         28           28           99         300          278.80
         29         1412           96         300          287.51
         30         1656           94         300          293.63
         31         4684           96         300          287.51
         32        14382           95         300          290.54
         33        14668           94         300          293.63
         34        14141           96         300          287.51
         35        11575           94         300          293.63
         36          515           97         300          284.55
         37        13577           95         300          290.54
         38         1654           95         300          290.54
         39          727           96         300          287.51
         40        12689           96         300          287.51
         41        12276           95         300          290.54
         42         1468           94         300          293.63
         43         9464          100         300          276.01
         44         7151           96         300          287.51
         45          630           94         300          293.63
         46        13967           99         300          278.80
         47        14322          101         300          273.28
         48          656          100         299          276.01
         49         1466           95         300          290.54
         50         1458           96         300          287.51
         51         6346           94         300          293.63
         52         2915           99         300          278.80
         53         1610           95         300          290.54
         54          866           95         300          290.54
         55         3825          102         299          270.60
         56        13784           94         300          293.63
         57         1711           96         300          287.51
         58         7438          100         300          276.01
         59         1624          101         300          273.28
         60         8349           95         300          290.54
         61         8448           96         300          287.51
         62         1464           95         300          290.54
         63        11746           96         300          287.51
         64          935           99         300          278.80
         65        14224           95         300          290.54
         66        10066           99         300          278.80
         67         2703           99         300          278.80
         68        10196           94         300          293.63
         69         1681           96         300          287.51
         70         1319           96         300          287.51
         71         6505           94         300          293.63
         72         9079           96         300          287.51
         73         9546           94         300          293.63
         74         5049           96         300          287.51
         75         6582           94         300          293.63
         76         6895           96         300          287.51
         77         5022           98         300          281.64
         78         3590           96         300          287.51
         79         1514           95         300          290.54
         80         1314           99         300          278.80
         81        11653          101         300          273.28
         82        12040          100         300          276.01
         83         4968          101         300          273.28
         84         1636          101         300          273.28
         85        10301           97         300          284.55
         86         4373          100         298          276.01
         87        11834           95         300          290.54
         88         7649           95         300          290.54
         89         1575           98         300          281.64
         90         7751          100         299          276.01
         91        13521           93         300          296.78
         92         9024           95         300          290.54
         93         1115           99         296          278.80
         94         1621          101         299          273.28
         95         3749          100         298          276.01
         96        11677           97         300          284.55
         97         4579           96         300          287.51
         98         1297           94         300          293.63
         99         1657           96         300          287.51
        100         9521           95         300          290.54
        101        14511          100         300          276.01
        102         6627           97         300          284.55
        103        14720          100         300          276.01
        104         8611           96         300          287.51
        105         3122           95         300          290.54
        106         3801           95         300          290.54
        107        11492           95         300          290.54
        108        11470           95         300          290.54
        109          609           95         300          290.54
        110         1366           95         300          290.54
        111        10810           94         300          293.63
        112        11289           99         300          278.80
        113         1331          100         299          276.01
        114        13209           94         300          293.63
        115        14591          101         300          273.28
        116         1796           95         300          290.54
        117         1617          101         300          273.28
        118        10326          100         300          276.01
        119         8273           94         300          293.63
        120         9963           99         300          278.80
