Solution ID,f[1],f[2],f[3]
5,87.0,324.0,301.931034483
6,87.0,324.0,301.931034483
80,87.0,324.0,301.931034483
95,87.0,324.0,301.931034483
109,87.0,324.0,301.931034483
121,87.0,324.0,301.931034483
131,87.0,324.0,301.931034483
132,87.0,324.0,301.931034483
236,87.0,324.0,301.931034483
270,87.0,324.0,301.931034483
279,87.0,324.0,301.931034483
287,87.0,324.0,301.931034483
290,87.0,324.0,301.931034483
296,87.0,324.0,301.931034483
308,87.0,324.0,301.931034483
317,87.0,324.0,301.931034483
338,87.0,324.0,301.931034483
353,87.0,324.0,301.931034483
381,87.0,324.0,301.931034483
387,87.0,324.0,301.931034483
393,87.0,324.0,301.931034483
428,87.0,324.0,301.931034483
431,87.0,324.0,301.931034483
433,87.0,324.0,301.931034483
446,87.0,324.0,301.931034483
482,87.0,324.0,301.931034483
483,87.0,324.0,301.931034483
493,87.0,324.0,301.931034483
509,87.0,324.0,301.931034483
521,87.0,324.0,301.931034483
525,87.0,324.0,301.931034483
550,87.0,324.0,301.931034483
584,87.0,324.0,301.931034483
589,87.0,324.0,301.931034483
597,87.0,324.0,301.931034483
613,87.0,324.0,301.931034483
634,87.0,324.0,301.931034483
639,87.0,324.0,301.931034483
641,87.0,324.0,301.931034483
649,87.0,324.0,301.931034483
660,87.0,324.0,301.931034483
666,87.0,324.0,301.931034483
694,87.0,324.0,301.931034483
705,87.0,324.0,301.931034483
716,87.0,324.0,301.931034483
743,87.0,324.0,301.931034483
751,87.0,324.0,301.931034483
755,87.0,324.0,301.931034483
768,87.0,324.0,301.931034483
783,87.0,324.0,301.931034483
800,87.0,324.0,301.931034483
803,87.0,324.0,301.931034483
814,87.0,324.0,301.931034483
858,87.0,324.0,301.931034483
876,87.0,324.0,301.931034483
880,87.0,324.0,301.931034483
895,87.0,324.0,301.931034483
905,87.0,324.0,301.931034483
916,87.0,324.0,301.931034483
917,87.0,324.0,301.931034483
935,87.0,324.0,301.931034483
941,87.0,324.0,301.931034483
945,87.0,324.0,301.931034483
978,87.0,324.0,301.931034483
981,87.0,324.0,301.931034483
985,87.0,324.0,301.931034483
988,87.0,324.0,301.931034483
1001,87.0,324.0,301.931034483
1022,87.0,324.0,301.931034483
1036,87.0,324.0,301.931034483
1063,87.0,324.0,301.931034483
1064,87.0,324.0,301.931034483
1073,87.0,324.0,301.931034483
1080,87.0,324.0,301.931034483
1081,87.0,324.0,301.931034483
1086,87.0,324.0,301.931034483
1096,87.0,324.0,301.931034483
1097,87.0,324.0,301.931034483
1101,87.0,324.0,301.931034483
1116,87.0,324.0,301.931034483
1138,87.0,324.0,301.931034483
1148,87.0,324.0,301.931034483
1150,87.0,324.0,301.931034483
1155,87.0,324.0,301.931034483
1160,87.0,324.0,301.931034483
1164,87.0,324.0,301.931034483
1166,87.0,324.0,301.931034483
1169,87.0,324.0,301.931034483
1183,87.0,324.0,301.931034483
1222,87.0,324.0,301.931034483
1233,87.0,324.0,301.931034483
1249,87.0,324.0,301.931034483
1272,87.0,324.0,301.931034483
1275,87.0,324.0,301.931034483
1293,87.0,324.0,301.931034483
1296,87.0,324.0,301.931034483
1310,87.0,324.0,301.931034483
1313,87.0,324.0,301.931034483
1329,87.0,324.0,301.931034483
1347,87.0,324.0,301.931034483
