Solution ID,f[1],f[2],f[3]
375,53.0,571.0,535.396226415
413,66.0,474.0,429.939393939
478,77.0,418.0,368.519480519
770,74.0,434.0,383.459459459
991,76.0,426.0,373.368421053
1022,73.0,426.0,388.712328767
1055,89.0,370.0,318.831460674
1163,55.0,554.0,515.927272727
1397,40.0,746.0,709.4
1439,59.0,516.0,480.949152542
1478,95.0,349.0,298.694736842
1518,42.0,707.0,675.619047619
1681,72.0,441.0,394.111111111
1755,58.0,529.0,489.24137931
1883,58.0,529.0,489.24137931
2119,53.0,571.0,535.396226415
2136,52.0,584.0,545.692307692
2140,60.0,512.0,472.933333333
2502,63.0,493.0,450.412698413
2715,83.0,392.0,341.879518072
3161,64.0,485.0,443.375
3455,42.0,707.0,675.619047619
3733,102.0,334.0,278.196078431
3738,61.0,506.0,465.180327869
3741,85.0,382.0,333.835294118
3883,57.0,536.0,497.824561404
3964,56.0,544.0,506.714285714
4077,44.0,704.0,644.909090909
5128,110.0,311.0,257.963636364
5583,41.0,709.0,692.097560976
5729,48.0,631.0,591.166666667
6259,117.0,296.0,242.52991453
6326,51.0,593.0,556.392156863
6506,81.0,396.0,350.320987654
8259,98.0,419.0,289.551020408
8859,62.0,500.0,457.677419355
10151,70.0,452.0,405.371428571
10429,96.0,348.0,295.583333333
10547,79.0,412.0,359.189873418
11944,108.0,442.0,262.740740741
14411,75.0,428.0,378.346666667
14417,42.0,707.0,675.619047619
14619,90.0,576.0,315.288888889
14637,106.0,509.0,267.698113208
14858,94.0,356.0,301.872340426
14918,50.0,609.0,567.52
15354,94.0,356.0,301.872340426
15827,103.0,423.0,275.495145631
15885,92.0,392.0,308.434782609
15962,84.0,532.0,337.80952381
15963,84.0,532.0,337.80952381
17216,122.0,356.0,232.590163934
17504,53.0,571.0,535.396226415
17948,118.0,356.0,240.474576271
18032,93.0,377.0,305.11827957
18034,93.0,377.0,305.11827957
18678,100.0,406.0,283.76
18682,101.0,375.0,280.95049505
18942,76.0,426.0,373.368421053
19384,88.0,386.0,322.454545455
20195,68.0,460.0,417.294117647
20401,80.0,398.0,354.7
20452,49.0,619.0,579.102040816
20527,68.0,460.0,417.294117647
20700,109.0,378.0,260.330275229
20743,45.0,693.0,630.577777778
20747,47.0,691.0,603.744680851
21058,91.0,364.0,311.824175824
21171,43.0,700.0,659.906976744
22081,104.0,424.0,272.846153846
22083,105.0,424.0,270.247619048
22205,86.0,412.0,329.953488372
22296,85.0,382.0,333.835294118
22449,69.0,451.0,411.246376812
22921,71.0,441.0,399.661971831
22933,116.0,451.0,244.620689655
22965,46.0,706.0,616.869565217
23019,67.0,467.0,423.52238806
23435,58.0,529.0,489.24137931
23455,78.0,408.0,363.794871795
23579,97.0,522.0,292.536082474
23636,82.0,488.0,346.048780488
23654,111.0,363.0,255.63963964
23657,112.0,352.0,253.357142857
23803,65.0,479.0,436.553846154
24322,114.0,423.0,248.912280702
24463,87.0,372.0,326.16091954
24464,54.0,557.0,525.481481481
