Solution ID,f[1],f[2],f[3]
11,85.0,327.0,328.458823529
14,90.0,324.0,310.211111111
40,85.0,327.0,328.458823529
73,89.0,325.0,313.696629213
110,85.0,327.0,328.458823529
146,85.0,327.0,328.458823529
206,85.0,327.0,328.458823529
228,89.0,325.0,313.696629213
252,85.0,327.0,328.458823529
306,84.0,327.0,332.369047619
363,85.0,327.0,328.458823529
374,85.0,327.0,328.458823529
477,84.0,327.0,332.369047619
496,85.0,327.0,328.458823529
1981,89.0,325.0,313.696629213
2167,90.0,324.0,310.211111111
2400,97.0,324.0,287.824742268
2669,88.0,326.0,317.261363636
2895,97.0,324.0,287.824742268
4562,100.0,324.0,279.19
5696,88.0,326.0,317.261363636
6684,88.0,326.0,317.261363636
7480,91.0,323.0,306.802197802
7830,89.0,325.0,313.696629213
8523,93.0,319.0,300.204301075
9572,94.0,321.0,297.010638298
10067,95.0,321.0,293.884210526
10562,96.0,321.0,290.822916667
11059,95.0,321.0,293.884210526
11557,96.0,321.0,290.822916667
13560,92.0,322.0,303.467391304
14748,88.0,326.0,317.261363636
16726,88.0,326.0,317.261363636
17597,86.0,327.0,324.639534884
18874,101.0,327.0,276.425742574
19233,90.0,324.0,310.211111111
19711,86.0,327.0,324.639534884
20280,90.0,324.0,310.211111111
20580,86.0,327.0,324.639534884
20840,86.0,327.0,324.639534884
20881,86.0,327.0,324.639534884
21249,86.0,327.0,324.639534884
21468,98.0,326.0,284.887755102
21752,92.0,322.0,303.467391304
21867,86.0,327.0,324.639534884
22199,90.0,324.0,310.211111111
22242,92.0,322.0,303.467391304
24586,86.0,327.0,324.639534884
24808,94.0,321.0,297.010638298
25133,87.0,327.0,320.908045977
