Solution ID,f[1],f[2],f[3]
20500,80.0,395.0,365.9125
20523,87.0,372.0,336.471264368
18507,59.0,521.0,496.152542373
18515,77.0,414.0,380.168831169
20568,63.0,508.0,464.650793651
20579,64.0,495.0,457.390625
6245,52.0,592.0,562.942307692
22631,109.0,336.0,268.559633028
22632,108.0,336.0,271.046296296
22633,107.0,336.0,273.579439252
22634,106.0,336.0,276.160377358
22635,105.0,336.0,278.79047619
20588,84.0,377.0,348.488095238
24704,115.0,333.0,254.547826087
24711,136.0,339.0,215.242647059
22681,72.0,434.0,406.569444444
24736,55.0,544.0,532.236363636
24740,75.0,427.0,390.306666667
22708,46.0,630.0,636.369565217
18618,82.0,390.0,356.987804878
20672,83.0,381.0,352.686746988
20705,90.0,360.0,325.255555556
24822,104.0,336.0,281.471153846
24836,139.0,338.0,210.597122302
24838,141.0,335.0,207.609929078
24839,142.0,334.0,206.147887324
24841,143.0,331.0,204.706293706
24850,145.0,333.0,201.882758621
24851,146.0,331.0,200.5
24866,61.0,515.0,479.885245902
22821,73.0,431.0,401.0
24876,67.0,474.0,436.910447761
22720,60.0,518.0,487.883333333
24913,101.0,336.0,289.831683168
24917,102.0,334.0,286.990196078
24918,103.0,334.0,284.203883495
24922,100.0,343.0,292.73
24923,99.0,343.0,295.686868687
24924,98.0,343.0,298.704081633
24925,97.0,343.0,301.783505155
24926,96.0,343.0,304.927083333
24929,126.0,327.0,232.325396825
24932,129.0,325.0,226.92248062
24942,85.0,377.0,344.388235294
22589,71.0,445.0,412.295774648
24967,53.0,566.0,552.320754717
24986,135.0,329.0,216.837037037
25000,117.0,329.0,250.196581197
25004,118.0,329.0,248.076271186
25005,55.0,544.0,532.236363636
25025,132.0,325.0,221.765151515
25026,130.0,324.0,225.176923077
25027,131.0,324.0,223.458015267
25030,133.0,325.0,220.097744361
25032,134.0,324.0,218.455223881
25036,120.0,329.0,243.941666667
25038,122.0,329.0,239.942622951
25039,121.0,329.0,241.925619835
22629,111.0,336.0,263.720720721
22630,110.0,336.0,266.118181818
15125,47.0,628.0,622.829787234
11062,65.0,491.0,450.353846154
19376,46.0,630.0,636.369565217
19445,57.0,531.0,513.561403509
19484,56.0,536.0,522.732142857
21638,91.0,348.0,321.681318681
23714,114.0,334.0,256.780701754
23715,113.0,334.0,259.053097345
23716,112.0,334.0,261.366071429
23762,124.0,333.0,236.072580645
23763,123.0,333.0,237.991869919
23767,119.0,333.0,245.991596639
23770,116.0,333.0,252.353448276
21745,86.0,372.0,340.38372093
23797,94.0,347.0,311.414893617
23854,74.0,428.0,395.581081081
23864,88.0,370.0,332.647727273
23872,95.0,344.0,308.136842105
23885,127.0,327.0,230.496062992
23886,128.0,327.0,228.6953125
23911,137.0,339.0,213.671532847
23914,138.0,339.0,212.123188406
24837,140.0,338.0,209.092857143
17331,79.0,408.0,370.544303797
24848,144.0,335.0,203.284722222
8136,54.0,557.0,542.092592593
23653,125.0,333.0,234.184
11976,62.0,509.0,472.14516129
8140,50.0,615.0,585.46
9969,69.0,465.0,424.246376812
24877,68.0,473.0,430.485294118
18201,48.0,623.0,609.854166667
14109,78.0,414.0,375.294871795
18226,70.0,461.0,418.185714286
16242,51.0,600.0,573.980392157
16287,52.0,592.0,562.942307692
18336,81.0,395.0,361.395061728
12193,45.0,634.0,650.511111111
18379,66.0,489.0,443.53030303
8141,49.0,619.0,597.408163265
22481,92.0,348.0,318.184782609
22484,93.0,348.0,314.76344086
20444,48.0,623.0,609.854166667
22496,58.0,531.0,504.706896552
22508,76.0,420.0,385.171052632
20466,89.0,364.0,328.91011236
