573	588

13	19

13	100

12	56

33	89

55	19

91	99

55	31

14	58

97	11

88	70

94	10

10	100

72	98

99	11

15	12

55	10

22	23

97	58

10	16

39	73

76	100

56	100

10	88

12	100

14	78

16	31

47	18

75	19

93	100

53	97

99	90

99	30

57	13

75	29

96	10

28	59

10	84

10	18

49	10

11	77

43	33

22	21

11	13

81	10

100	18

84	11

73	63

56	15

10	27

12	86

10	10

49	15

87	53

82	68

93	95

11	12

53	50

16	36

19	34

60	16

53	21

87	16

12	75

74	10

17	90

100	10

11	79

100	18

36	88

75	14

96	71

66	14

55	10

40	10

80	99

89	27

43	71

89	94

99	31

25	81

61	73

59	81

96	68

76	11

57	86

27	100

87	54

21	100

95	70

100	94

71	76

41	100

15	51

41	10

95	85

100	77

93	100

83	82

11	51

21	11

90	13

16	75

84	27

19	14

19	35

89	69

38	11

40	22

20	34

15	60

83	99

74	71

44	21

99	59

83	27

20	74

74	10

94	43

61	27

69	66

10	64

99	71

44	70

10	93

10	19

75	70

11	98

51	71

11	89

98	74

10	94

16	18

11	13

81	76

10	10

42	95

10	73

39	77

95	12

16	89

96	99

89	12

99	16

79	89

80	10

88	96

91	39

97	80

14	32

11	60

86	10

100	93

79	19

78	10

57	50

99	89

31	14

64	47

79	57

43	14

10	97

78	82

94	10

22	67

91	85

22	19

96	16

16	32

10	37

73	100

49	100

75	18

66	10

40	50

79	53

100	57

21	87

10	63

39	63

46	47

28	92

25	44

63	90

11	36

72	100

10	85

78	55

19	39

51	36

82	10

100	40

30	52

10	99

15	31

85	10

15	74

38	19

18	10

65	13

18	97

77	55

43	64

17	100

100	35

51	14

37	19

93	78

99	59

40	89

54	18

10	35

92	45

80	53

75	95

88	52

16	26

55	20

92	62

19	24

65	85

40	32

47	60

86	86

40	99

17	13

100	28

16	70

98	66

50	99

100	71

92	99

12	77

40	97

39	93

100	89

99	52

12	95

99	12

55	47

92	10

26	100

67	18

92	10

100	58

15	11

10	61

100	54

23	100

13	43

40	11

36	95

100	81

41	54

34	48

13	10

79	100

63	83

83	49

27	52

97	15

10	12

90	77

85	78

40	96

53	99

100	13

21	12

99	43

27	10

48	84

13	84

56	83

27	10

24	88

91	100

11	10

32	96

63	96

25	84

73	16

71	96

28	100

49	21

72	44

99	24

89	54

89	19

38	85

18	77

82	59

17	11

22	10

49	13

65	94

35	59

46	40

33	20

89	30

13	65

16	25

56	85

30	43

27	100

12	52

10	82

88	84

64	97

19	15

44	94

76	59

69	69

92	96

98	26

17	63

53	99

92	86

12	98

23	90

67	10

22	10

95	18

50	33

12	10

16	29

19	90

56	70

97	13

31	32

12	34

12	14

13	44

31	13

36	59

99	50

30	93

12	66

17	58

12	45

24	17

73	22

15	61

26	72

18	31

59	38

90	23

99	20

61	55

75	95

69	98

43	95

18	58

33	100

100	12

80	54

99	55

10	14

54	67

90	57

15	19

68	92

44	12

92	14

61	10

70	15

53	12

13	100

17	35

99	67

38	59

34	18

51	56

51	85

26	35

12	98

19	22

51	55

84	80

17	10

82	100

19	19

80	37

13	81

76	93

70	61

10	49

11	94

13	17

99	100

18	50

65	90

33	10

31	59

22	12

99	67

14	97

84	10

21	100

11	21

100	40

88	22

100	88

41	98

63	59

13	10

39	79

24	83

85	100

99	36

18	34

87	13

55	10

10	14

64	69

10	99

76	85

11	62

100	85

100	43

63	22

98	98

89	30

15	33

44	100

28	19

58	91

15	32

57	27

11	79

37	31

98	10

10	59

50	85

85	10

39	30

68	94

97	39

21	94

32	31

99	85

89	76

49	99

48	38

10	67

39	17

17	28

12	77

99	16

10	26

87	66

10	10

10	85

100	51

67	39

80	100

81	24

100	84

85	64

69	17

74	12

30	95

68	56

86	99

96	60

100	25

57	10

96	11

21	10

22	90

50	25

40	14

99	19

61	33

77	95

39	100

24	12

11	72

59	58

91	23

60	26

12	64

100	97

18	100

100	44

22	20

44	66

95	51

41	10

25	83

80	16

74	47

27	69

16	61

98	10

80	12

12	14

11	22

15	12

46	15

11	74

10	97

