Solution ID,f[1],f[2],f[3]
103,87.0,324.0,301.931034483
167,105.0,310.0,250.171428571
168,104.0,312.0,252.576923077
295,209.0,224.0,125.684210526
396,136.0,259.0,193.147058824
5547,120.0,286.0,218.9
5559,138.0,253.0,190.347826087
5565,108.0,307.0,243.222222222
5796,172.0,225.0,152.720930233
5798,173.0,225.0,151.838150289
7049,111.0,299.0,236.648648649
7050,112.0,297.0,234.535714286
7059,134.0,273.0,196.029850746
7193,96.0,321.0,273.625
7194,97.0,321.0,270.804123711
7202,174.0,226.0,150.965517241
7461,117.0,291.0,224.512820513
7462,116.0,291.0,226.448275862
7766,150.0,245.0,175.12
7771,143.0,255.0,183.692307692
8104,165.0,224.0,159.2
8106,177.0,219.0,148.406779661
8123,131.0,269.0,200.519083969
8248,123.0,283.0,213.56097561
8434,125.0,278.0,210.144
8444,130.0,269.0,202.061538462
8471,206.0,198.0,127.514563107
8517,207.0,194.0,126.898550725
8635,176.0,219.0,149.25
8637,175.0,219.0,150.102857143
8645,208.0,194.0,126.288461538
8685,145.0,251.0,181.15862069
8959,166.0,230.0,158.240963855
9059,163.0,227.0,161.153374233
9060,164.0,227.0,160.170731707
9070,157.0,254.0,167.312101911
9072,158.0,254.0,166.253164557
9083,113.0,297.0,232.460176991
9848,87.0,324.0,301.931034483
10040,210.0,193.0,125.085714286
10058,91.0,323.0,288.659340659
10059,92.0,323.0,285.52173913
10072,140.0,258.0,187.628571429
10075,142.0,251.0,184.985915493
10390,156.0,321.0,168.384615385
10466,211.0,193.0,124.492890995
10467,212.0,193.0,123.905660377
10470,213.0,193.0,123.323943662
10501,161.0,254.0,163.155279503
10511,144.0,254.0,182.416666667
10516,139.0,261.0,188.978417266
10571,102.0,315.0,257.529411765
10590,148.0,248.0,177.486486486
10591,99.0,319.0,265.333333333
10595,98.0,319.0,268.040816327
10614,129.0,272.0,203.627906977
10626,103.0,313.0,255.029126214
10629,106.0,310.0,247.811320755
10630,107.0,309.0,245.495327103
10634,159.0,268.0,165.20754717
10642,168.0,238.0,156.357142857
10645,169.0,227.0,155.431952663
10822,121.0,289.0,217.090909091
10864,178.0,231.0,147.573033708
10865,179.0,229.0,146.748603352
10866,180.0,229.0,145.933333333
10884,181.0,226.0,145.127071823
10886,182.0,226.0,144.32967033
10985,133.0,267.0,197.503759398
10988,132.0,267.0,199.0
11380,101.0,318.0,260.079207921
11561,100.0,316.0,262.68
11568,118.0,289.0,222.610169492
11569,119.0,289.0,220.739495798
11868,109.0,307.0,240.990825688
11892,151.0,253.0,173.960264901
12113,114.0,293.0,230.421052632
12923,204.0,244.0,128.764705882
12937,124.0,281.0,211.838709677
12994,149.0,256.0,176.295302013
13208,93.0,322.0,282.451612903
13210,94.0,322.0,279.446808511
13213,128.0,271.0,205.21875
13214,127.0,271.0,206.834645669
13215,126.0,271.0,208.476190476
13216,205.0,220.0,128.136585366
13222,185.0,217.0,141.989189189
13225,186.0,215.0,141.225806452
13240,152.0,241.0,172.815789474
13690,187.0,215.0,140.470588235
13692,188.0,230.0,139.723404255
13693,189.0,215.0,138.984126984
15177,203.0,220.0,129.399014778
18200,216.0,200.0,121.611111111
19828,224.0,191.0,117.267857143
19913,225.0,191.0,116.746666667
20911,171.0,217.0,153.614035088
22398,141.0,253.0,186.29787234
23508,147.0,246.0,178.693877551
23628,90.0,324.0,291.866666667
24021,115.0,291.0,228.417391304
24048,190.0,209.0,138.252631579
24122,199.0,227.0,132.0
24669,89.0,324.0,295.146067416
24673,135.0,258.0,194.577777778
24678,170.0,218.0,154.517647059
24690,184.0,207.0,142.760869565
24694,160.0,232.0,164.175
24698,146.0,247.0,179.917808219
24716,88.0,324.0,298.5
24719,110.0,303.0,238.8
24734,122.0,310.0,215.31147541
24771,191.0,207.0,137.528795812
24774,192.0,207.0,136.8125
24775,193.0,207.0,136.103626943
24785,195.0,200.0,134.707692308
24792,194.0,201.0,135.402061856
24794,196.0,200.0,134.020408163
24803,154.0,246.0,170.571428571
24804,153.0,246.0,171.68627451
24822,162.0,232.0,162.148148148
24836,167.0,250.0,157.293413174
24878,137.0,255.0,191.737226277
24955,95.0,323.0,276.505263158
