Solution ID,f[1],f[2],f[3]
31,96.0,316.0,273.625
44,95.0,319.0,276.505263158
115,91.0,324.0,288.659340659
189,99.0,323.0,265.333333333
211,98.0,322.0,268.040816327
262,96.0,316.0,273.625
322,92.0,321.0,285.52173913
378,94.0,319.0,279.446808511
393,91.0,324.0,288.659340659
487,97.0,318.0,270.804123711
600,93.0,320.0,282.451612903
601,93.0,320.0,282.451612903
1789,91.0,324.0,288.659340659
1964,91.0,324.0,288.659340659
1997,91.0,324.0,288.659340659
2150,87.0,324.0,301.931034483
2328,91.0,324.0,288.659340659
2514,87.0,324.0,301.931034483
2542,91.0,324.0,288.659340659
2619,91.0,324.0,288.659340659
2905,87.0,324.0,301.931034483
2958,91.0,324.0,288.659340659
2984,90.0,323.0,291.866666667
3086,91.0,324.0,288.659340659
3190,91.0,324.0,288.659340659
3531,91.0,324.0,288.659340659
3739,91.0,324.0,288.659340659
3764,91.0,324.0,288.659340659
3790,91.0,324.0,288.659340659
3973,87.0,324.0,301.931034483
4075,91.0,324.0,288.659340659
4128,91.0,324.0,288.659340659
4178,91.0,324.0,288.659340659
4441,87.0,324.0,301.931034483
4751,91.0,324.0,288.659340659
4778,91.0,324.0,288.659340659
5039,91.0,324.0,288.659340659
5086,91.0,324.0,288.659340659
5194,91.0,324.0,288.659340659
5273,91.0,324.0,288.659340659
5299,91.0,324.0,288.659340659
5324,91.0,324.0,288.659340659
5531,87.0,324.0,301.931034483
5582,91.0,324.0,288.659340659
5819,87.0,324.0,301.931034483
5998,91.0,324.0,288.659340659
6027,91.0,324.0,288.659340659
6130,87.0,324.0,301.931034483
6233,91.0,324.0,288.659340659
6335,91.0,324.0,288.659340659
6466,87.0,324.0,301.931034483
6598,91.0,324.0,288.659340659
6728,91.0,324.0,288.659340659
6881,91.0,324.0,288.659340659
7613,87.0,324.0,301.931034483
7708,91.0,324.0,288.659340659
7743,91.0,324.0,288.659340659
7943,91.0,324.0,288.659340659
8028,93.0,320.0,282.451612903
8055,91.0,324.0,288.659340659
8106,87.0,324.0,301.931034483
8178,89.0,323.0,295.146067416
8336,91.0,324.0,288.659340659
8366,91.0,324.0,288.659340659
8492,87.0,324.0,301.931034483
8574,87.0,324.0,301.931034483
8754,91.0,324.0,288.659340659
8965,88.0,323.0,298.5
9144,87.0,324.0,301.931034483
9225,91.0,324.0,288.659340659
9459,87.0,324.0,301.931034483
9743,91.0,324.0,288.659340659
9793,91.0,324.0,288.659340659
10181,91.0,324.0,288.659340659
10392,87.0,324.0,301.931034483
10626,87.0,324.0,301.931034483
10680,91.0,324.0,288.659340659
10707,91.0,324.0,288.659340659
11045,91.0,324.0,288.659340659
11093,91.0,324.0,288.659340659
11485,91.0,324.0,288.659340659
11565,87.0,324.0,301.931034483
11591,87.0,324.0,301.931034483
11747,91.0,324.0,288.659340659
11825,87.0,324.0,301.931034483
11848,91.0,324.0,288.659340659
12007,91.0,324.0,288.659340659
12734,91.0,324.0,288.659340659
12963,91.0,324.0,288.659340659
12995,91.0,324.0,288.659340659
13328,91.0,324.0,288.659340659
13435,91.0,324.0,288.659340659
13567,91.0,324.0,288.659340659
13592,87.0,324.0,301.931034483
13697,87.0,324.0,301.931034483
13827,91.0,324.0,288.659340659
13853,87.0,324.0,301.931034483
13877,91.0,324.0,288.659340659
14267,91.0,324.0,288.659340659
14320,87.0,324.0,301.931034483
14373,91.0,324.0,288.659340659
