Solution ID,f[1],f[2],f[3]
1,45.0,697.0,604.622222222
1061,58.0,702.0,469.103448276
1121,58.0,702.0,469.103448276
1134,58.0,702.0,469.103448276
1332,58.0,702.0,469.103448276
1419,58.0,702.0,469.103448276
1555,59.0,702.0,461.152542373
1686,59.0,702.0,461.152542373
1902,59.0,702.0,461.152542373
2038,60.0,702.0,453.466666667
2271,60.0,702.0,453.466666667
2795,59.0,702.0,461.152542373
2936,59.0,702.0,461.152542373
3088,59.0,702.0,461.152542373
3285,60.0,702.0,453.466666667
4260,58.0,702.0,469.103448276
4316,59.0,702.0,461.152542373
4805,60.0,702.0,453.466666667
4834,60.0,702.0,453.466666667
5283,61.0,702.0,446.032786885
5310,61.0,702.0,446.032786885
7464,56.0,699.0,485.857142857
7958,57.0,699.0,477.333333333
8445,56.0,699.0,485.857142857
10606,48.0,650.0,566.833333333
10987,47.0,651.0,578.893617021
11479,50.0,660.0,544.16
11578,48.0,650.0,566.833333333
16087,49.0,643.0,555.265306122
17412,51.0,659.0,533.490196078
19151,48.0,650.0,566.833333333
19500,54.0,677.0,503.851851852
19990,55.0,677.0,494.690909091
22162,53.0,670.0,513.358490566
23730,46.0,667.0,591.47826087
25365,52.0,667.0,523.230769231
