Solution ID,f[1],f[2],f[3]
8,93.0,300.0,296.784946237
28,94.0,300.0,293.627659574
64,93.0,300.0,296.784946237
106,100.0,297.0,276.01
114,94.0,300.0,293.627659574
124,93.0,300.0,296.784946237
169,93.0,300.0,296.784946237
208,93.0,300.0,296.784946237
210,99.0,298.0,278.797979798
211,93.0,300.0,296.784946237
253,93.0,300.0,296.784946237
291,101.0,298.0,273.277227723
339,94.0,300.0,293.627659574
395,94.0,300.0,293.627659574
463,94.0,300.0,293.627659574
472,93.0,300.0,296.784946237
483,94.0,300.0,293.627659574
524,97.0,299.0,284.546391753
1704,94.0,300.0,293.627659574
3079,101.0,298.0,273.277227723
3519,101.0,298.0,273.277227723
3829,101.0,298.0,273.277227723
3988,98.0,299.0,281.642857143
11345,95.0,300.0,290.536842105
12038,94.0,300.0,293.627659574
12390,105.0,295.0,262.866666667
13075,105.0,295.0,262.866666667
13259,95.0,300.0,290.536842105
13468,95.0,300.0,290.536842105
14119,95.0,300.0,290.536842105
15325,101.0,298.0,273.277227723
15520,94.0,300.0,293.627659574
15570,104.0,296.0,265.394230769
15619,107.0,298.0,257.953271028
15991,102.0,296.0,270.598039216
16040,94.0,300.0,293.627659574
16112,108.0,298.0,255.564814815
16233,94.0,300.0,293.627659574
18663,108.0,298.0,255.564814815
19124,103.0,295.0,267.970873786
20097,98.0,299.0,281.642857143
20395,105.0,295.0,262.866666667
20825,94.0,300.0,293.627659574
23918,106.0,296.0,260.386792453
24192,107.0,298.0,257.953271028
24282,102.0,296.0,270.598039216
24909,106.0,296.0,260.386792453
25183,107.0,298.0,257.953271028
25191,95.0,300.0,290.536842105
25254,96.0,300.0,287.510416667
