Solution ID,f[1],f[2],f[3]
452,82.0,389.0,328.073170732
526,93.0,345.0,289.268817204
560,67.0,461.0,401.52238806
1089,59.0,512.0,455.966101695
1154,56.0,537.0,480.392857143
1177,40.0,759.0,672.55
1205,67.0,461.0,401.52238806
1261,75.0,421.0,358.693333333
1558,36.0,852.0,747.277777778
1672,62.0,491.0,433.903225806
1871,49.0,597.0,549.020408163
1956,51.0,574.0,527.490196078
2157,60.0,505.0,448.366666667
2376,104.0,321.0,258.673076923
3135,60.0,505.0,448.366666667
3714,52.0,566.0,517.346153846
3882,56.0,537.0,480.392857143
3912,50.0,586.0,538.04
4099,68.0,454.0,395.617647059
4291,55.0,539.0,489.127272727
4310,48.0,611.0,560.458333333
4427,70.0,444.0,384.314285714
4482,56.0,537.0,480.392857143
4545,61.0,497.0,441.016393443
7020,77.0,403.0,349.376623377
7032,41.0,740.0,656.146341463
7035,42.0,729.0,640.523809524
7655,39.0,738.0,689.794871795
8762,47.0,618.0,572.382978723
10529,44.0,666.0,611.409090909
10761,79.0,668.0,340.53164557
11949,45.0,647.0,597.822222222
12597,46.0,633.0,584.826086957
13389,100.0,329.0,269.02
13472,108.0,349.0,249.092592593
13481,110.0,346.0,244.563636364
14052,95.0,395.0,283.178947368
14151,113.0,332.0,238.07079646
14443,43.0,690.0,625.627906977
16156,115.0,316.0,233.930434783
16777,84.0,556.0,320.261904762
16798,97.0,365.0,277.340206186
16799,98.0,365.0,274.510204082
16817,116.0,308.0,231.913793103
16880,85.0,554.0,316.494117647
17479,118.0,314.0,227.983050847
17820,86.0,375.0,312.813953488
17851,75.0,421.0,358.693333333
19587,103.0,415.0,261.184466019
19598,117.0,380.0,229.931623932
19688,54.0,548.0,498.185185185
20429,76.0,559.0,353.973684211
20451,78.0,558.0,344.897435897
20452,78.0,558.0,344.897435897
20832,65.0,472.0,413.876923077
20964,71.0,434.0,378.901408451
21043,94.0,407.0,286.191489362
21245,81.0,529.0,332.12345679
21247,80.0,529.0,336.275
21271,72.0,446.0,373.638888889
21272,73.0,444.0,368.520547945
21273,74.0,444.0,363.540540541
21802,38.0,742.0,707.947368421
21922,106.0,457.0,253.79245283
22647,89.0,406.0,302.269662921
22696,88.0,415.0,305.704545455
23204,65.0,472.0,413.876923077
23283,111.0,395.0,242.36036036
23393,107.0,403.0,251.420560748
23402,109.0,384.0,246.80733945
23491,64.0,478.0,420.34375
23656,69.0,452.0,389.884057971
23713,66.0,465.0,407.606060606
23818,37.0,768.0,727.081081081
23819,53.0,555.0,507.58490566
24394,63.0,484.0,427.015873016
24410,58.0,517.0,463.827586207
24543,57.0,524.0,471.964912281
