Solution ID,f[1],f[2],f[3]
287,91.0,322.0,306.802197802
2315,89.0,323.0,313.696629213
2630,88.0,325.0,317.261363636
2999,90.0,322.0,310.211111111
3108,101.0,325.0,276.425742574
9070,122.0,301.0,228.844262295
9128,120.0,298.0,232.658333333
11036,126.0,296.0,221.579365079
11098,124.0,303.0,225.153225806
12686,84.0,327.0,332.369047619
13740,136.0,292.0,205.286764706
13774,118.0,310.0,236.601694915
15034,139.0,283.0,200.856115108
15096,109.0,316.0,256.137614679
15110,145.0,277.0,192.544827586
15750,150.0,270.0,186.126666667
17274,156.0,261.0,178.967948718
18711,102.0,314.0,273.715686275
18746,148.0,276.0,188.641891892
19188,164.0,257.0,170.237804878
19191,104.0,309.0,268.451923077
19198,96.0,320.0,290.822916667
19212,125.0,310.0,223.352
19953,149.0,273.0,187.375838926
19968,151.0,273.0,184.894039735
20254,152.0,273.0,183.677631579
20263,154.0,268.0,181.292207792
20420,162.0,255.0,172.339506173
21147,143.0,290.0,195.237762238
21248,161.0,263.0,173.409937888
21252,163.0,250.0,171.282208589
21260,165.0,286.0,169.206060606
21269,168.0,246.0,166.18452381
21270,169.0,246.0,165.201183432
21272,170.0,246.0,164.229411765
21277,115.0,310.0,242.773913043
21778,166.0,250.0,168.186746988
21789,172.0,246.0,162.319767442
21877,93.0,320.0,300.204301075
21905,167.0,243.0,167.179640719
22041,113.0,302.0,247.07079646
22042,112.0,302.0,249.276785714
22094,132.0,299.0,211.507575758
22099,174.0,237.0,160.454022989
22102,175.0,237.0,159.537142857
22107,108.0,307.0,258.509259259
22112,176.0,237.0,158.630681818
22408,179.0,237.0,155.972067039
22411,177.0,237.0,157.734463277
22417,87.0,326.0,320.908045977
22968,84.0,327.0,332.369047619
23575,116.0,307.0,240.681034483
23579,114.0,308.0,244.903508772
23580,103.0,323.0,271.058252427
23592,160.0,271.0,174.49375
23596,171.0,284.0,163.269005848
23657,131.0,296.0,213.122137405
23662,98.0,318.0,284.887755102
23666,138.0,285.0,202.311594203
23669,140.0,283.0,199.421428571
23670,141.0,283.0,198.007092199
24202,130.0,296.0,214.761538462
24281,97.0,316.0,287.824742268
24451,158.0,281.0,176.702531646
24455,159.0,263.0,175.591194969
24697,86.0,327.0,324.639534884
24877,173.0,265.0,161.38150289
24938,85.0,327.0,328.458823529
24966,157.0,285.0,177.828025478
24990,105.0,307.0,265.895238095
24991,106.0,307.0,263.386792453
24992,107.0,305.0,260.925233645
24997,180.0,238.0,155.105555556
25001,178.0,237.0,156.848314607
25018,99.0,316.0,282.01010101
25020,100.0,315.0,279.19
25028,110.0,309.0,253.809090909
25030,111.0,309.0,251.522522523
25065,92.0,323.0,303.467391304
25069,94.0,322.0,297.010638298
25070,95.0,322.0,293.884210526
