Solution ID,f[1],f[2],f[3]
215,53.0,584.0,521.641509434
220,51.0,662.0,542.098039216
2439,52.0,639.0,531.673076923
3507,64.0,882.0,431.984375
4267,59.0,569.0,468.593220339
5391,64.0,882.0,431.984375
6027,66.0,882.0,418.893939394
6520,67.0,882.0,412.641791045
8963,61.0,591.0,453.229508197
10688,55.0,563.0,502.672727273
11181,60.0,582.0,460.783333333
11674,62.0,780.0,445.919354839
14209,63.0,813.0,438.841269841
14983,54.0,572.0,511.981481481
15969,54.0,572.0,511.981481481
16404,56.0,559.0,493.696428571
17382,58.0,559.0,476.672413793
18539,57.0,560.0,485.035087719
