Solution ID,f[1],f[2],f[3]
93,46.0,635.0,636.369565217
243,46.0,635.0,636.369565217
299,45.0,636.0,650.511111111
457,46.0,635.0,636.369565217
469,45.0,636.0,650.511111111
1600,57.0,636.0,513.561403509
2409,53.0,628.0,552.320754717
2581,58.0,635.0,504.706896552
3582,53.0,628.0,552.320754717
6268,49.0,622.0,597.408163265
9123,56.0,634.0,522.732142857
12201,50.0,623.0,585.46
12876,48.0,625.0,609.854166667
13360,47.0,625.0,622.829787234
16123,57.0,636.0,513.561403509
16721,46.0,635.0,636.369565217
18345,46.0,635.0,636.369565217
18982,51.0,625.0,573.980392157
19024,51.0,625.0,573.980392157
19507,52.0,625.0,562.942307692
23137,55.0,633.0,532.236363636
24189,57.0,636.0,513.561403509
24880,54.0,628.0,542.092592593
25260,53.0,628.0,552.320754717
